rank,name,date
48,Jrue Holiday,11-07-2025
49,Stephon Castle,11-07-2025
50,Amen Thompson,11-07-2025

1,Luka Doncic,11-08-2025
2,Nikola Jokic,11-08-2025
3,Giannis Antetokounmpo,11-08-2025
4,Tyrese Maxey,11-08-2025
5,Shai Gilgeous-Alexander,11-08-2025
6,Austin Reaves,11-08-2025
7,Victor Wembanyama,11-08-2025
8,Donovan Mitchell,11-08-2025
9,Josh Giddey,11-08-2025
10,Devin Booker,11-08-2025
11,Julius Randle,11-08-2025
12,LaMelo Ball,11-08-2025
13,Bennedict Mathurin,11-08-2025
14,Alperen Sengun,11-08-2025
15,Lauri Markkanen,11-08-2025
16,Cade Cunningham,11-08-2025
17,Jalen Brunson,11-08-2025
18,James Harden,11-08-2025
19,Pascal Siakam,11-08-2025
20,Jaylen Brown,11-08-2025
21,Kawhi Leonard,11-08-2025
22,Nikola Vucevic,11-08-2025
23,Jalen Green,11-08-2025
24,Stephen Curry,11-08-2025
25,Jalen Johnson,11-08-2025
26,Scottie Barnes,11-08-2025
27,Paolo Banchero,11-08-2025
28,Deni Avdija,11-08-2025
29,Karl-Anth:ony Towns,11-08-2025
30,Jamal Murray,11-08-2025
31,Anthony Davis,11-08-2025
32,Chet Holmgren,11-08-2025
33,Alex Sarr,11-08-2025
34,Zach LaVine,11-08-2025
35,Keyonte George,11-08-2025
36,Evan Mobley,11-08-2025
37,Kevin Durant,11-08-2025
38,Michael Porter Jr.,11-08-2025
39,Jalen Duren,11-08-2025
40,Brandon Ingram,11-08-2025
41,Zion Williamson,11-08-2025
42,Domantas Sabonis,11-08-2025
43,Norman Powell,11-08-2025
44,Walker Kessler,11-08-2025
45,Miles Bridges,11-08-2025
46,RJ Barrett,11-08-2025
47,Franz Wagner,11-08-2025
48,Jrue Holiday,11-08-2025
49,Stephon Castle,11-08-2025
50,Amen Thompson,11-08-2025

1,Luka Doncic,11-09-2025
2,Giannis Antetokounmpo,11-09-2025
3,Nikola Jokic,11-09-2025
4,Tyrese Maxey,11-09-2025
5,Shai Gilgeous-Alexander,11-09-2025
6,Austin Reaves,11-09-2025
7,Victor Wembanyama,11-09-2025
8,Donovan Mitchell,11-09-2025
9,Julius Randle,11-09-2025
10,Devin Booker,11-09-2025
11,LaMelo Ball,11-09-2025
12,Bennedict Mathurin,11-09-2025
13,Cade Cunningham,11-09-2025
14,Josh Giddey,11-09-2025
15,Alperen Sengun,11-09-2025
16,Jalen Brunson,11-09-2025
17,Jaylen Brown,11-09-2025
18,Deni Avdija,11-09-2025
19,Kawhi Leonard,11-09-2025
20,Lauri Markkanen,11-09-2025
21,James Harden,11-09-2025
22,Stephen Curry,11-09-2025
23,Jalen Johnson,11-09-2025
24,Jamal Murray,11-09-2025
25,Pascal Siakam,11-09-2025
26,Paolo Banchero,11-09-2025
27,Scottie Barnes,11-09-2025
28,Jalen Duren,11-09-2025
29,Anthony Davis,11-09-2025
30,Evan Mobley,11-09-2025
31,Alex Sarr,11-09-2025
32,De'Aaron Fox,11-09-2025
33,Anthony Edwards,11-09-2025
34,Nikola Vucevic,11-09-2025
35,Michael Porter Jr.,11-09-2025
36,Keyonte George,11-09-2025
37,Brandon Ingram,11-09-2025
38,Zion Williamson,11-09-2025
39,Franz Wagner,11-09-2025
40,Jrue Holiday,11-09-2025
41,Domantas Sabonis,11-09-2025
42,Norman Powell,11-09-2025
43,Walker Kessler,11-09-2025
44,Miles Bridges,11-09-2025
45,Stephon Castle,11-09-2025
46,RJ Barrett,11-09-2025
47,Kevin Durant,11-09-2025
48,Chet Holmgren,11-09-2025
49,De'Aaron Jackson,11-09-2025
50,Stephon Castle,11-09-2025

1,Luka Doncic,11-10-2025
2,Nikola Jokic,11-10-2025
3,Giannis Antetokounmpo,11-10-2025
4,Tyrese Maxey,11-10-2025
5,Shai Gilgeous-Alexander,11-10-2025
6,Austin Reaves,11-10-2025
7,Victor Wembanyama,11-10-2025
8,Donovan Mitchell,11-10-2025
9,Devin Booker,11-10-2025
10,LaMelo Ball,11-10-2025
11,Bennedict Mathurin,11-10-2025
12,Julius Randle,11-10-2025
13,Cade Cunningham,11-10-2025
14,Alperen Sengun,11-10-2025
15,Josh Giddey,11-10-2025
16,Deni Avdija,11-10-2025
17,Jalen Brunson,11-10-2025
18,Jaylen Brown,11-10-2025
19,Kawhi Leonard,11-10-2025
20,Lauri Markkanen,11-10-2025
21,James Harden,11-10-2025
22,Stephen Curry,11-10-2025
23,Karl-Anthony Towns,11-10-2025
24,Pascal Siakam,11-10-2025
25,Jamal Murray,11-10-2025
26,Paolo Banchero,11-10-2025
27,Scottie Barnes,11-10-2025
28,Anthony Davis,11-10-2025
29,De'Aaron Fox,11-10-2025
30,Evan Mobley,11-10-2025
31,Alex Sarr,11-10-2025
32,Nikola Vucevic,11-10-2025
33,Keyonte George,11-10-2025
34,Brandon Ingram,11-10-2025
35,Zion Williamson,11-10-2025
36,Franz Wagner,11-10-2025
37,Norman Powell,11-10-2025
38,Walker Kessler,11-10-2025
39,Stephon Castle,11-10-2025
40,Miles Bridges,11-10-2025
41,RJ Barrett,11-10-2025
42,Michael Porter Jr.,11-10-2025
43,Domantas Sabonis,11-10-2025
44,Bam Adebayo,11-10-2025
45,Kyshawn George,11-10-2025
46,Jrue Holiday,11-10-2025
47,De'Aaron Jackson,11-10-2025
48,De’Aaron Fox,11-10-2025
49,Stephon Castle,11-10-2025
50,Amen Thompson,11-10-2025

1,Luka Doncic,11-11-2025
2,Nikola Jokic,11-11-2025
3,Giannis Antetokounmpo,11-11-2025
4,Tyrese Maxey,11-11-2025
5,Shai Gilgeous-Alexander,11-11-2025
6,Austin Reaves,11-11-2025
